	control_sample_32
CARS2	243.6049949
ING1	115.1054529
LINC00346	3.348522266
ANKRD10	823.7364776
LINC00431	1
LINC00368	1
ARHGEF7-AS2	1
ARHGEF7	359.1290131
ARHGEF7-AS1	1
LOC101060553	1
TEX29	2.092826417
LINC00354	1
LINC00403	1
SOX1	1
LINC01070	1
LOC101928730	1
LINC01044	1
SPACA7	1
TUBGCP3	377.1273203
ATP11AUN	1
ATP11A	364.1517965
ATP11A-AS1	21.76539473
MCF2L-AS1	1
MCF2L	45.2050506
F7	2.092826417
F10	1
F10-AS1	1
PROZ	2.929956983
PCID2	206.77125
CUL4A	952.6545848
MIR8075	1
LAMP1	696.9111967
GRTP1	10.46413208
GRTP1-AS1	1
LOC101928841	2.092826417
ADPRHL1	7.115609816
DCUN1D2	89.99153591
TMCO3	259.9290409
TFDP1	470.0488132
ATP4B	1
GRK1	1
LINC00552	1
TMEM255B	1.25569585
GAS6-AS1	2.929956983
GAS6	18.83543775
GAS6-AS2	1
LINC00452	1
LINC00565	25.113917
RASA3	966.0486739
CDC16	349.0834463
MIR548AR	8.78987095
MIR4502	1
UPF3A	90.82866648
CHAMP1	20.92826417
LINC01054	1.674261133
POTEG	1
DUXAP10	1
LINC01296	1.25569585
POTEM	1
LOC100508046	1
OR11H2	1
OR4Q3	1
OR4M1	1
OR4N2	1
OR4K2	1
OR4K5	1
OR4K1	1
OR4K15	1
OR4K14	1
OR4K13	1
OR4L1	1
OR4K17	1
OR4N5	1
OR11G2	1
OR11H6	1
OR11H4	1.25569585
TTC5	89.57297063
CCNB1IP1	79.10883855
SNORD126	1
RPPH1	11963.01436
PARP2	53.99492155
TEP1	748.3947266
KLHL33	1.674261133
OSGEP	153.1948937
APEX1	141.4750658
TMEM55B	208.0269458
PNP	618.6394887
RNASE10	1
RNASE9	1
RNASE11	1
LOC254028	1
OR6S1	1
ANG	4.185652833
RNASE4	16.32404605
EDDM3A	1
EDDM3B	1
RNASE6	148.5906756
RNASE1	1.25569585
RNASE3	1
ECRP	1
RNASE2	26.36961285
METTL17	120.9653669
LOC101929718	1
SLC39A2	1
NDRG2	35.57804908
MIR6717	1
TPPP2	1
RNASE13	1
RNASE7	1
RNASE8	1
ARHGEF40	364.988927
ZNF219	21.76539473
TMEM253	2.092826417
OR5AU1	1
LINC00641	231.885167
HNRNPC	2193.282085
RPGRIP1	40.60083248
SUPT16H	693.5626744
CHD8	1054.365949
SNORD9	4.604218116
SNORD8	2.5113917
RAB2B	2106.220506
TOX4	393.032801
METTL3	300.9484387
SALL2	6.697044533
OR10G3	1
OR10G2	7.952740383
OR4E2	1
DAD1	298.8556123
ABHD4	66.97044533
OXA1L	395.1256274
SLC7A7	376.2901897
MRPL52	66.55188005
MMP14	7.5341751
LRP10	429.866546
REM2	29.29956983
RBM23	567.9930895
PRMT5-AS1	1.674261133
PRMT5	89.57297063
LOC101926933	5.441348683
HAUS4	196.7256832
AJUBA	6.697044533
C14orf93	59.85483551
PSMB5	95.4328846
PSMB11	1
CDH24	2.092826417
ACIN1	981.5355894
C14orf119	280.4387398
CEBPE	16.74261133
SLC7A8	3.76708755
RNF212B	10.0455668
HOMEZ	72.41179401
PPP1R3E	66.97044533
BCL2L2	49.80926871
PABPN1	13.39408907
SLC22A17	11.30126265
EFS	1
IL25	1
CMTM5	34.32235323
MYH6	1
MYH7	1
NGDN	115.5240182
THTPA	40.60083248
ZFHX2	6.27847925
AP1G2	173.2860273
LOC102724814	26.78817813
JPH4	1.25569585
DHRS2	1
DHRS4-AS1	43.94935475
DHRS4	26.78817813
DHRS4L2	43.94935475
DHRS4L1	10.46413208
LRRC16B	11.30126265
CPNE6	2.5113917
NRL	9.208436233
PCK2	56.92487853
DCAF11	1082.828388
FITM1	4.604218116
PSME1	1155.240182
EMC9	17.5797419
PSME2	149.4278061
RNF31	278.3459134
IRF9	520.6952124
REC8	44.36792003
IPO4	57.7620091
TM9SF1	130.5923684
TSSK4	31.81096153
CHMP4A	143.9864575
MDP1	3.76708755
NEDD8	138.1265435
GMPR2	444.5163309
TINF2	500.6040788
TGM1	5.441348683
RABGGTA	37.25231021
DHRS1	29.71813512
NOP9	171.6117662
LTB4R2	12.97552378
LTB4R	139.3822393
ADCY4	17.5797419
RIPK3	61.52909665
NFATC4	1
NYNRIN	1.25569585
CBLN3	7.5341751
KHNYN	948.468932
SDR39U1	44.36792003
LOC101927045	8.371305666
CMA1	1
CTSG	4.185652833
GZMH	132.2666295
GZMB	220.165339
STXBP6	1
NOVA1	1
LOC101927062	1
LOC102724890	1
LOC101927081	1
MIR4307	1
LINC00645	1
FOXG1-AS1	1
FOXG1	1
LINC01551	1
MIR548AI	1
PRKD1	4.604218116
G2E3	265.7889549
SCFD1	413.9610652
COCH	29.29956983
LOC100506071	11.30126265
STRN3	334.4336614
MIR624	1
AP4S1	152.3577631
HECTD1	1881.032383
HEATR5A	447.8648531
LOC101927124	7.952740383
DTD2	65.2961842
GPR33	1
NUBPL	47.29787701
ARHGAP5-AS1	1.674261133
ARHGAP5	779.3685575
AKAP6	57.34344381
NPAS3	1
EGLN3	18.41687247
SPTSSA	72.41179401
EAPP	154.8691548
SNX6	588.0842231
CFL2	50.64639928
BAZ1A	1584.688163
IGBP1P1	2.092826417
SRP54	378.8015814
FAM177A1	73.66748986
LOC101927178	10.0455668
PPP2R3C	154.8691548
KIAA0391	205.0969888
PSMA6	109.6641042
NFKBIA	726.6293318
INSM2	2.929956983
RALGAPA1	20.0911336
RALGAPA1P	1
BRMS1L	23.85822115
LINC00609	1
PTCSC3	1
MBIP	42.6936589
SFTA3	1
NKX2-1	1
NKX2-1-AS1	1
NKX2-8	1
PAX9	1.674261133
SLC25A21	6.697044533
SLC25A21-AS1	1
MIPOL1	1.674261133
FOXA1	1
TTC6	1
SSTR1	1
CLEC14A	1
LINC00639	1.674261133
SEC23A	554.5990004
GEMIN2	29.29956983
TRAPPC6B	264.5332591
PNN	556.2732615
MIA2	1
CTAGE5	340.2935753
LOC100288846	1.25569585
FBXO33	479.6758147
LOC644919	2.929956983
LRFN5	1
FSCB	1
C14orf28	41.43796305
LOC101927418	5.859913966
KLHL28	578.8757868
FAM179B	217.6539473
PRPF39	294.2513942
SNORD127	1
FKBP3	97.52571101
FANCM	134.3594559
MIS18BP1	673.0529756
LINC00871	1
RPL10L	1
MDGA2	1
LINC00648	1
RPS29	627.4293597
LRR1	68.64470646
RPL36AL	567.1559589
MGAT2	391.7771052
DNAAF2	56.08774796
POLE2	40.60083248
KLHDC1	46.87931173
KLHDC2	369.1745799
NEMF	603.9897038
ARF6	920.8436233
MIR6076	1
LINC01588	84.13162195
LINC01599	38.08944078
VCPKMT	161.1476341
SOS2	854.7103085
L2HGDH	36.83374493
MIR4504	1
ATP5S	95.85144988
CDKL1	136.0337171
MAP4K5	415.6353263
ATL1	41.01939776
SAV1	121.8024974
NIN	2935.398332
ABHD12B	54.41348683
PYGL	1216.350713
TRIM9	11.71982793
TMX1	409.3568471
LINC00640	1.25569585
FRMD6-AS2	1
FRMD6	9.208436233
FRMD6-AS1	2.929956983
GNG2	422.3323709
LOC102723604	60.69196608
C14orf166	203.0041624
NID2	42.6936589
PTGDR	233.5594281
PTGER2	386.3357565
TXNDC16	225.1881224
GPR137C	1.674261133
ERO1A	807.4124315
PSMC6	140.6379352
STYX	465.0260298
GNPNAT1	167.8446786
FERMT2	3.76708755
DDHD1	743.7905084
LOC101927620	5.441348683
BMP4	1
CDKN3	6.27847925
CNIH1	86.22444836
GMFB	455.8175935
CGRRF1	48.97213815
SAMD4A	33.48522266
GCH1	349.0834463
MIR4308	1
WDHD1	52.32066041
SOCS4	415.6353263
MAPK1IP1L	269.5560425
LGALS3	1582.176771
DLGAP5	18.41687247
FBXO34	397.2184539
ATG14	242.349299
TBPL2	1
KTN1-AS1	2.929956983
KTN1	680.1685854
RPL13AP3	1
LINC00520	1
PELI2	787.3212979
TMEM260	346.1534893
OTX2	1
OTX2-AS1	1
EXOC5	631.1964472
AP5M1	443.260635
NAA30	230.2109058
C14orf105	2.929956983
SLC35F4	3.348522266
C14orf37	1
ACTR10	243.6049949
PSMA3	244.8606907
PSMA3-AS1	641.242014
ARID4A	815.3651719
TOMM20L	1.25569585
TIMM9	12.5569585
KIAA0586	325.6437904
DACT1	53.57635626
LINC01500	1
DAAM1	118.4539752
GPR135	6.697044533
L3HYPDH	77.43457741
JKAMP	262.0218674
CCDC175	1
RTN1	123.8953239
LRRC9	2.929956983
PCNXL4	446.6091573
DHRS7	493.488469
PPM1A	2920.329982
C14orf39	1
SIX6	1
SALRNA1	1
SIX1	1
SIX4	1
MNAT1	72.41179401
TRMT5	72.8303593
SLC38A6	46.87931173
TMEM30B	15.90548077
PRKCH	1542.831634
LOC101927780	12.5569585
FLJ22447	1.674261133
HIF1A-AS1	1
HIF1A	896.9854021
HIF1A-AS2	9.208436233
SNAPC1	42.27509361
SYT16	1
LINC00643	2.5113917
KCNH5	1
RHOJ	1
GPHB5	1
PPP2R5E	192.9585956
WDR89	133.5223254
SGPP1	195.8885526
SYNE2	5508.319128
MIR548AZ	1.25569585
MIR548H1	1
ESR2	16.74261133
TEX21P	5.441348683
MTHFD1	127.2438461
ZBTB25	266.2075202
AKAP5	122.2210627
ZBTB1	728.303593
LOC102723809	22.18396002
HSPA2	4.185652833
PPP1R36	1
PLEKHG3	788.1584285
SPTB	2146.402773
CHURC1	321.4581376
GPX2	20.50969888
RAB15	33.06665738
FNTB	5.0227834
MAX	625.7550986
MIR4706	1.25569585
LOC100506321	30.55526568
LOC100128233	2.5113917
FUT8	239.0007768
FUT8-AS1	4.604218116
MIR625	1
LINC00238	20.0911336
GPHN	29.71813512
FAM71D	1
MPP5	165.3332869
ATP6V1D	258.6733451
EIF2S1	304.7155263
PLEK2	254.9062575
TMEM229B	102.5484944
PLEKHH1	12.13839322
PIGH	67.38901061
ARG2	153.613459
VTI1B	334.8522266
RDH11	359.1290131
RDH12	1
ZFYVE26	346.1534893
RAD51B	92.08436233
ZFP36L1	309.7383097
ACTN1	1008.742333
ACTN1-AS1	3.348522266
DCAF5	363.3146659
EXD2	58.59913966
GALNT16	1
ERH	103.8041903
SLC39A9	544.9719989
PLEKHD1	1
CCDC177	1
SUSD6	345.3163587
LOC100289511	23.43965587
SRSF5	1622.777603
SLC10A1	82.03879553
SMOC1	1
SLC8A3	8.371305666
ADAM21P1	1
COX16	5.441348683
SYNJ2BP	236.9079504
ADAM21	4.604218116
ADAM20P1	17.99830718
ADAM20	27.20674342
MED6	199.6556401
LOC101928075	5.0227834
TTC9	102.9670597
LINC01269	2.929956983
MAP3K9	29.29956983
PCNX	3140.076755
SNORD56B	5.0227834
LOC145474	53.99492155
SIPA1L1	810.3423885
RGS6	114.2683223
MIR7843	1
DPF3	16.74261133
DCAF4	63.20335778
ZFYVE1	125.1510197
RBM25	1098.315303
PSEN1	911.2166218
PAPLN	61.52909665
NUMB	503.9526011
HEATR4	23.02109058
C14orf169	105.8970167
ACOT1	4.604218116
ACOT2	29.71813512
ACOT4	4.185652833
ACOT6	1
DNAL1	53.99492155
PNMA1	97.9442763
ELMSAN1	162.4033299
MIR4505	4.604218116
LOC100506476	16.74261133
PTGR2	23.43965587
ZNF410	362.4775353
FAM161B	24.69535172
COQ6	64.45905363
ENTPD5	138.9636741
CCDC176	290.9028719
ALDH6A1	101.7113638
LIN52	48.13500758
VSX2	1
ABCD4	84.96875251
VRTN	1
SYNDIG1L	1
NPC2	197.1442484
ISCA2	80.3645344
LTBP2	61.11053136
AREL1	734.5820722
FCF1	168.6818092
YLPM1	416.4724569
PROX2	47.29787701
DLST	304.296961
RPS6KL1	25.113917
PGF	1.25569585
EIF2B2	109.6641042
MLH3	377.9644508
ACYP1	24.69535172
ZC2HC1C	13.81265435
NEK9	686.0284993
TMED10	1158.170139
FOS	299.6927429
LINC01220	5.441348683
JDP2	97.52571101
BATF	37.6708755
LOC102724153	1
FLVCR2	46.46074645
C14orf1	41.85652833
TTLL5	113.4311918
TGFB3	8.78987095
IFT43	22.6025253
GPATCH2L	1027.996336
ESRRB	1
VASH1	104.6413208
LOC100506603	7.952740383
ANGEL1	83.71305666
LRRC74A	1
IRF2BPL	165.7518522
LOC283575	31.81096153
LOC102724190	21.76539473
CIPC	185.0058552
ZDHHC22	1
TMEM63C	9.208436233
NGB	1
POMT2	14.23121963
GSTZ1	30.97383097
TMED8	67.8075759
SAMD15	2.5113917
NOXRED1	10.46413208
VIPAS39	170.7746356
AHSA1	305.1340915
ISM2	1
SPTLC2	1270.345635
ALKBH1	92.50292761
SLIRP	20.92826417
SNW1	381.3129731
C14orf178	3.348522266
ADCK1	17.5797419
NRXN3	19.25400303
DIO2	1
DIO2-AS1	1
CEP128	118.4539752
TSHR	18.41687247
GTF2A1	565.0631325
SNORA79	1.674261133
STON2	375.4530591
LOC100506700	1
SEL1L	1319.736338
LINC01467	1
LINC00911	1
FLRT2	1
LOC101928767	17.16117662
LOC283585	1
GALC	292.9956983
GPR65	407.6825859
LOC101928791	11.30126265
LINC01146	9.208436233
KCNK10	3.348522266
SPATA7	24.69535172
PTPN21	2.092826417
ZC3H14	298.8556123
EML5	140.2193699
TTC8	14.23121963
FOXN3	823.7364776
FOXN3-AS1	9.208436233
FOXN3-AS2	37.6708755
EFCAB11	15.90548077
TDP1	206.77125
KCNK13	7.5341751
PSMC1	223.9324266
NRDE2	212.2125986
CALM1	2645.751156
LINC00642	1
TTC7B	29.29956983
LOC101928909	1.25569585
RPS6KA5	555.0175657
C14orf159	634.5449695
SNORA11B	1.674261133
GPR68	102.5484944
CCDC88C	631.6150125
PPP4R3A	1253.184458
CATSPERB	22.6025253
TC2N	1798.156457
FBLN5	16.32404605
TRIP11	660.4960171
ATXN3	450.7948101
NDUFB1	32.6480921
CPSF2	617.8023582
SLC24A4	114.2683223
RIN3	154.8691548
LGMN	18.83543775
GOLGA5	271.2303036
CHGA	13.39408907
ITPK1	560.8774796
ITPK1-AS1	78.69027326
MOAP1	205.5155541
TMEM251	48.97213815
C14orf142	22.6025253
UBR7	249.0463436
BTBD7	326.480921
UNC79	2.5113917
COX8C	1
PRIMA1	1
FAM181A-AS1	1
FAM181A	1
ASB2	16.74261133
MIR4506	1
LINC00521	1
OTUB2	44.78648531
DDX24	801.9710828
IFI27L1	7.952740383
IFI27	25.53248228
IFI27L2	23.02109058
PPP4R4	13.81265435
SERPINA10	2.092826417
SERPINA6	1
SERPINA2	1
SERPINA1	586.4099619
SERPINA11	1
SERPINA9	1
SERPINA12	1
SERPINA4	1
SERPINA5	1
SERPINA3	1
SERPINA13P	1
GSC	1
DICER1	2944.606768
MIR3173	1
DICER1-AS1	9.627001516
CLMN	281.2758704
LOC101929080	1
LINC00341	124.3138891
SYNE3	262.4404326
SNHG10	32.6480921
GLRX5	1929.167391
TCL6	23.43965587
TCL1B	2.5113917
TCL1A	195.4699873
TUNAR	1.674261133
C14orf132	30.97383097
BDKRB2	1
BDKRB1	1
ATG2B	996.6039396
GSKIP	91.24723176
AK7	3.348522266
LOC730202	1.25569585
PAPOLA	2056.829802
VRK1	284.2058274
LINC00618	2.929956983
LOC101929241	36.41517965
LOC100129345	1
LINC01550	49.80926871
C14orf177	1
BCL11B	1501.812237
SETD3	406.8454554
CCNK	89.99153591
CCDC85C	34.32235323
HHIPL1	1.674261133
CYP46A1	1
EML1	1
EVL	890.2883576
MIR151B	4.185652833
MIR342	7.115609816
DEGS2	6.27847925
YY1	708.6310246
MIR6764	1.674261133
SLC25A29	107.5712778
MIR345	1
SLC25A47	1
WARS	790.6698202
WDR25	35.99661436
BEGAIN	1
LINC00523	1
DLK1	2.092826417
MIR2392	1
MEG3	1
MIR337	1
MIR665	1
RTL1	1
MEG8	1
SNORD113-1	1
SNORD113-4	1
SNORD114-1	1
SNORD114-2	1
SNORD114-4	1
SNORD114-7	1
SNORD114-8	1
SNHG24	1
SNORD114-11	1
SNORD114-13	1
SNORD114-18	1
SNORD114-19	1
SNORD114-20	1
SNORD114-22	1
SNORD114-23	1
SNORD114-25	1
SNORD114-27	1
SNORD114-30	1
MIR1197	1
MIR329-1	1
MIR494	1
MIR543	1
MIR376C	1
MIR381HG	1
MIR544A	1
MIR668	1
MIR410	1
MEG9	1
LINC00524	1
DIO3OS	1
MIR1247	1
DIO3	1
LINC00239	5.0227834
PPP2R5C	1552.877201
DYNC1H1	2132.171553
HSP90AA1	640.4048835
WDR20	287.9729149
MOK	13.81265435
ZNF839	100.455668
CINP	57.34344381
TECPR2	823.7364776
ANKRD9	51.90209513
RCOR1	438.6564169
TRAF3	273.32313
AMN	3.348522266
CDC42BPB	76.17888156
EXOC3L4	1
TNFAIP2	1629.474648
LINC00605	1
EIF5	1492.6038
SNORA28	16.74261133
MARK3	1279.135506
CKB	7.115609816
TRMT61A	53.15779098
BAG5	395.5441927
APOPT1	71.57466345
KLC1	789.4141243
XRCC3	100.455668
ZFYVE21	87.48014421
PPP1R13B	26.36961285
LINC00637	1
C14orf2	37.6708755
TDRD9	16.74261133
RD3L	1.25569585
ASPG	1
KIF26A	1.674261133
C14orf180	1
TMEM179	1.674261133
MIR4710	1
INF2	62.7847925
ADSSL1	2.5113917
SIVA1	76.59744685
AKT1	670.1230186
ZBTB42	37.6708755
LINC00638	10.0455668
CEP170B	4.604218116
PLD4	54.41348683
AHNAK2	22.18396002
C14orf79	5.0227834
CDCA4	40.60083248
GPR132	248.209213
LOC102723354	1.674261133
JAG2	2.5113917
NUDT14	7.952740383
BRF1	110.0826695
BTBD6	130.1738031
PACS2	87.48014421
TEX22	10.88269737
LOC100507437	1
MTA1	82.03879553
CRIP2	67.8075759
CRIP1	283.3686968
C14orf80	35.1594838
TMEM121	1.25569585
ELK2AP	1
MIR4507	1
MIR4538	1
MIR4537	10.0455668
MIR4539	17.99830718
KIAA0125	204.6784235
ADAM6	1
LINC00226	1
LINC00221	1
MIR5195	4.185652833
CHEK2P2	1
HERC2P3	75.76031628
GOLGA6L6	1
GOLGA8CP	1
NBEAP1	2.5113917
POTEB3	1
NF1P2	1
LINC01193	1
LOC646214	151.5206326
CXADRP2	1
LOC727924	1
OR4M2	1
OR4N4	1
OR4N3P	1
MIR1268A	1
REREP3	10.46413208
GOLGA8DP	1
GOLGA6L22	1.25569585
TUBGCP5	108.4084084
CYFIP1	285.4615232
NIPA2	380.0572772
NIPA1	145.6607186
LOC283683	1
WHAMMP3	80.78309968
GOLGA8IP	1
HERC2P2	96.68858045
HERC2P7	1.674261133
GOLGA8EP	1
GOLGA8S	2.092826417
GOLGA6L2	1
MIR4508	1
MKRN3	14.64978492
MAGEL2	1.25569585
NDN	1
PWRN4	1
PWRN2	1
PWRN3	1
PWRN1	1
NPAP1	1
SNRPN	1
SNURF	1
PWARSN	114.6868876
PWAR5	280.0201745
SNORD116-1	1
SNORD116-2	1.674261133
SNORD116-4	2.929956983
SNORD116-8	1
SNORD116-10	1
SNORD116-11	1
SNORD116-12	1
SNORD116-13	2.929956983
SNORD116-14	3.76708755
SNORD116-15	1
SNORD116-16	1
SNORD116-18	1
SNORD116-20	1
SNORD116-21	12.13839322
SNORD116-22	3.348522266
SNORD116-23	1.25569585
SNORD116-24	4.185652833
SNORD116-25	1
SNORD116-26	1.674261133
SNORD116-27	1.674261133
SNORD116-28	1
SNORD116-29	1
SNORD116-30	1
IPW	34.32235323
PWAR1	3.348522266
SNORD115-1	1
SNORD115-3	1
SNORD115-4	1
SNORD115-10	1
SNORD115-6	1
SNORD115-7	1
SNORD115-13	1
SNORD115-14	1
SNORD115-24	1
SNORD115-25	1
SNORD115-26	1
SNORD115-27	1
SNORD115-28	1
SNORD115-30	1
SNORD115-31	1
SNORD115-32	1
SNORD115-37	1
SNORD115-39	1
SNORD115-40	1
SNORD115-44	1
SNORD115-45	1
SNORD115-46	1
SNORD115-48	1
UBE3A	747.1390307
ATP10A	182.9130288
MIR4715	1
LOC100128714	1
LINC00929	1
GABRB3	1
GABRA5	1
GABRG3	1
GABRG3-AS1	1
OCA2	1.674261133
HERC2	592.6884412
HERC2P9	41.85652833
GOLGA8M	6.697044533
WHAMMP2	100.455668
LOC100289656	1
PDCD6IPP2	4.604218116
GOLGA6L7P	1
APBA2	300.1113081
FAM189A1	3.76708755
NDNL2	156.543416
TJP1	1
GOLGA8J	1
ULK4P3	1
GOLGA8T	1.25569585
DKFZP434L187	1.674261133
CHRFAM7A	2.929956983
GOLGA8R	14.23121963
GOLGA8H	21.76539473
ARHGAP11B	13.81265435
LOC100288637	35.57804908
HERC2P10	1
FAN1	224.7695571
MTMR10	698.1668926
TRPM1	1.25569585
LOC283710	7.115609816
KLF13	2014.554709
OTUD7A	4.604218116
CHRNA7	1.25569585
GOLGA8K	6.27847925
GOLGA8O	1.674261133
WHAMMP1	79.10883855
LOC100996255	9.208436233
GOLGA8N	51.90209513
ARHGAP11A	28.04387398
SCG5	2.929956983
GREM1	1
LOC100131315	1
FMN1	254.069127
TMCO5B	1
LOC101928134	1
RYR3	23.02109058
AVEN	29.71813512
CHRM5	7.952740383
EMC7	123.0581933
PGBD4	34.32235323
KATNBL1	384.6614954
EMC4	107.1527125
SLC12A6	1793.552239
NOP10	220.5839043
NUTM1	1.674261133
LPCAT4	39.34513663
GOLGA8A	377.9644508
GOLGA8B	570.5044812
GJD2	1
LOC101928174	1
ACTC1	1
AQR	761.7888156
ZNF770	719.513722
ANP32AP1	1.25569585
DPH6	101.2927986
MIR3942	1.25569585
DPH6-AS1	1
C15orf41	37.25231021
CSNK1A1P1	2.929956983
LOC145845	1
MEIS2	2.092826417
TMCO5A	1
LOC101928227	1.25569585
SPRED1	57.7620091
FAM98B	232.3037322
RASGRP1	1040.553294
C15orf53	7.115609816
C15orf54	67.38901061
THBS1	400.5669761
FSIP1	7.115609816
GPR176	1.674261133
EIF2AK4	227.6995141
SRP14	167.007548
SRP14-AS1	25.95104757
BMF	100.455668
BUB1B	18.83543775
PAK6	1.674261133
C15orf56	1
ANKRD63	1
PLCB2	633.2892737
INAFM2	236.4893851
C15orf52	19.67256832
PHGR1	1.25569585
DISP2	13.81265435
KNSTRN	44.36792003
IVD	99.61853743
BAHD1	87.06157893
CHST14	12.97552378
C15orf57	81.62023025
MRPL42P5	1
RPUSD2	38.50800606
CASC5	80.78309968
RAD51-AS1	45.62361588
RAD51	11.30126265
RMDN3	105.4784514
GCHFR	23.85822115
DNAJC17	39.76370191
C15orf62	27.6253087
ZFYVE19	77.8531427
PPP1R14D	1
SPINT1	38.50800606
RHOV	1
VPS18	193.3771609
DLL4	1
CHAC1	1
INO80	380.0572772
EXD1	1
CHP1	267.0446508
OIP5-AS1	329.8294433
OIP5	12.97552378
NUSAP1	60.2734008
NDUFAF1	54.41348683
RTF1	274.1602606
ITPKA	1
LTK	44.78648531
RPAP1	39.76370191
TYRO3	1
MGA	1464.141361
MIR626	1
MAPKBP1	90.82866648
JMJD7	25.53248228
PLA2G4B	4.604218116
SPTBN5	37.25231021
EHD4	138.1265435
EHD4-AS1	10.46413208
PLA2G4E-AS1	1
PLA2G4E	1
PLA2G4D	1
PLA2G4F	1
VPS39	451.2133754
MIR627	1.25569585
TMEM87A	454.1433324
GANC	375.4530591
CAPN3	133.1037601
ZNF106	2213.791783
SNAP23	1311.365033
LRRC57	146.4978492
HAUS2	130.5923684
STARD9	196.3071179
CDAN1	77.8531427
TTBK2	262.0218674
UBR1	794.0183424
TMEM62	148.1721103
CCNDBP1	1778.065324
EPB42	2455.722517
TGM5	1
TGM7	1
LCMT2	90.4101012
ADAL	30.97383097
ZSCAN29	205.0969888
TUBGCP4	125.9881503
RNU6-28P	1
TP53BP1	425.6808931
MAP1A	26.78817813
PPIP5K1	102.9670597
CKMT1B	1
STRC	3.348522266
CATSPER2	14.64978492
CKMT1A	1
CATSPER2P1	5.859913966
PDIA3	748.3947266
ELL3	28.46243927
SERF2	1321.410599
SERINC4	30.97383097
HYPK	1
MFAP1	210.9569028
WDR76	84.13162195
FRMD5	17.5797419
PIN4P1	5.0227834
CASC4	688.9584563
CTDSPL2	498.9298177
EIF3J-AS1	35.99661436
EIF3J	230.6294711
SPG11	1986.092269
PATL2	129.3366725
B2M	17450.40523
LOC100419583	279.183044
TRIM69	19.67256832
C15orf43	1
SORD	45.2050506
DUOX2	1
DUOXA2	1
DUOXA1	1
DUOX1	17.5797419
SHF	13.81265435
LOC101928414	1
SLC28A2	1
GATM	10.46413208
SPATA5L1	141.893631
C15orf48	1
SLC30A4	51.90209513
HMGN2P46	2.092826417
BLOC1S6	609.0124872
SQRDL	583.8985702
SEMA6D	1
LINC01491	1
SLC24A5	2.092826417
MYEF2	64.87761891
CTXN2	2.929956983
SLC12A1	30.55526568
DUT	173.7045926
FBN1	6.697044533
CEP152	115.9425835
SHC4	1
EID1	427.7737195
SECISBP2L	526.5551264
COPS2	249.0463436
GALK2	167.007548
NDUFAF4P1	17.16117662
MIR4716	1.25569585
FAM227B	26.78817813
FGF7	3.348522266
DTWD1	91.66579705
ATP8B4	304.296961
SLC27A2	5.441348683
HDC	50.227834
GABPB1	191.2843345
FLJ10038	149.8463714
GABPB1-AS1	223.9324266
MIR4712	27.20674342
USP8	573.4344381
USP50	1.674261133
TRPM7	1015.857943
SPPL2A	376.2901897
AP4E1	267.463216
DCAF13P3	28.04387398
TNFAIP8L3	1
CYP19A1	1
MIR4713	1
GLDN	1
DMXL2	2617.707282
SCG3	23.02109058
LYSMD2	172.4488967
TMOD2	736.2563333
TMOD3	644.5905363
LOC100422556	14.64978492
LEO1	157.7991118
MAPK6	202.5855971
BCL2L10	1.25569585
GNB5	198.3999443
LOC100129973	8.371305666
MYO5C	12.13839322
MIR1266	1
MYO5A	900.7524897
ARPP19	1123.847786
FAM214A	619.4766193
ONECUT1	1
WDR72	1
UNC13C	1
RSL24D1	92.08436233
RAB27A	609.0124872
PIGBOS1	22.6025253
PIGB	263.6961285
CCPG1	254.069127
MIR628	7.952740383
C15orf65	1.674261133
DYX1C1	1
PYGO1	1
PRTG	1
NEDD4	128.499542
RFX7	197.5628137
TEX9	20.92826417
MNS1	6.27847925
ZNF280D	359.5475784
LOC145783	12.13839322
TCF12	509.3939498
LINC00926	173.7045926
LINC01413	1
CGNL1	1
GCOM1	4.604218116
MYZAP	11.71982793
POLR2M	6.697044533
ALDH1A2	2.092826417
AQP9	1691.003745
LIPC	10.46413208
LOC101928694	4.604218116
ADAM10	1750.440015
HSP90AB4P	91.24723176
FAM63B	219.3282085
SLTM	991.5811562
RNF111	397.2184539
CCNB2	6.697044533
MYO1E	77.43457741
MIR2116	1
LDHAL6B	2.092826417
FAM81A	1.674261133
GCNT3	1
GTF2A2	116.779714
BNIP2	990.7440256
FOXB1	1
ANXA2	1442.375966
ICE2	511.0682109
RORA-AS1	137.2894129
RORA	1919.121824
RORA-AS2	2.929956983
VPS13C	5096.45089
C2CD4A	1
C2CD4B	1
MIR6085	1
MGC15885	1
TLN2	30.1367004
TPM1	280.8573051
LACTB	220.5839043
RPS27L	52.32066041
RAB8B	1594.315164
APH1B	344.0606629
CA12	1
LOC102723344	1
USP3	940.9347569
USP3-AS1	76.17888156
FBXL22	3.76708755
HERC1	4727.27631
DAPK2	135.1965865
LOC101928988	4.185652833
FAM96A	113.8497571
SNX1	675.9829325
SNX22	147.3349797
PPIB	131.429499
CSNK1G1	311.4125708
KIAA0101	4.604218116
TRIP4	109.6641042
ZNF609	395.1256274
OAZ2	586.4099619
RBPMS2	1.25569585
MIR1272	1
PIF1	3.348522266
PLEKHO2	684.7728035
ANKDD1A	74.50462043
SPG21	420.2395444
MTFMT	62.36622721
SLC51B	1
RASL12	1
KBTBD13	1
UBAP1L	10.88269737
PDCD7	100.455668
CLPX	346.5720546
CILP	5.0227834
PARP16	64.45905363
