	control_sample_28
OSBPL8	6509.492536
ZDHHC17	748.9820377
CSRP2	11.56729016
E2F7	3.855763386
NAV3	4.819704232
SYT1	1
MIR1252	1
PAWR	21.20669862
PPP1R12A	1953.908096
OTOGL	1.927881693
PTPRQ	1.927881693
MYF6	1
MYF5	1
LINC01490	1
LIN7A	209.1751637
MIR617	5.783645079
MIR618	11.56729016
ACSS3	11.56729016
MIR4699	1
PPFIA2	2.891822539
LOC102724663	1
LOC101928449	1
CCDC59	104.1056114
METTL25	101.2137889
TMTC2	155.1944763
SLC6A15	1.927881693
TSPAN19	1
LRRIQ1	1
ALX1	1
RASSF9	1
NTS	1
MGAT4C	1
MKRN9P	9.639408465
C12orf50	1
C12orf29	158.0862988
CEP290	207.247282
TMTC3	210.1391045
KITLG	3.855763386
LOC728084	33.73792963
DUSP6	948.5177929
POC1B	311.3528934
GALNT4	13.49517185
ATP2B1	1948.124451
LINC00936	54.94462825
LINC00615	1
CCER1	1
EPYC	1
KERA	1
LUM	7.711526772
DCN	1.927881693
C12orf79	26.02640286
BTG1	1435.30792
CLLU1OS	1
CLLU1	1
C12orf74	4.819704232
PLEKHG7	17.35093524
EEA1	388.4681611
LOC643339	2.891822539
LOC102724933	1
NUDT4	36.62975217
UBE2N	399.0715104
MRPL42	194.716051
SOCS2-AS1	1.927881693
SOCS2	68.4398001
CRADD	56.87250994
LOC101928731	31.81004793
PLXNC1	6495.033424
CEP83	143.6271861
CEP83-AS1	1
MIR5700	1
TMCC3	469.4391922
KRT19P2	1
NDUFA12	141.6993044
NR2C1	145.5550678
FGD6	103.1416706
VEZT	250.6246201
MIR331	1.927881693
MIR3685	1
METAP2	194.716051
USP44	27.95428455
PGAM1P5	1
NTN4	5.783645079
SNRPF	50.12492402
CCDC38	10.60334931
AMDHD1	5.783645079
HAL	610.1745558
LTA4H	2703.854074
ELK3	307.49713
CDK17	718.1359306
CFAP54	14.4591127
NEDD1	327.7398878
RMST	1
LOC643711	1
SLC9A7P1	69.40374095
LOC643770	1.927881693
TMPO-AS1	25.06246201
TMPO	1574.115402
SLC25A3	878.1501112
SNORA53	15.42305354
IKBIP	272.7952596
APAF1	1538.449591
ANKS1B	1.927881693
LOC101928937	1
FAM71C	1
UHRF1BP1L	918.6356267
GOLGA2P5	62.65615502
MIR1827	1
ACTR6	107.9613748
DEPDC4	1
SCYL2	848.2679449
SLC17A8	1
NR1H4	1.927881693
GAS2L3	24.09852116
ANO4	1.927881693
SLC5A8	1
UTP20	232.309744
ARL1	140.7353636
SPIC	1.927881693
MYBPC1	1.927881693
CHPT1	533.0592881
SYCP3	57.83645079
GNPTAB	672.8307108
DRAM1	169.653589
CCDC53	144.591127
NUP37	67.47585925
PARPBP	39.52157471
PMCH	1.927881693
IGF1	4.819704232
LINC00485	1
PAH	1
ASCL1	1
LOC101929058	1.927881693
C12orf42	41.4494564
LOC101929084	1
STAB2	4.819704232
NT5DC3	37.59369301
TTC41P	5.783645079
HSP90B1	802.9627251
C12orf73	31.81004793
TDG	189.8963468
GLT8D2	7.711526772
HCFC2	240.0212708
NFYB	130.1320143
TXNRD1	1293.608616
EID3	49.16098317
CHST11	1124.918968
MIR3922	1
SLC41A2	17.35093524
C12orf45	19.27881693
ALDH1L2	20.24275778
LOC414300	1
KIAA1033	3041.233371
APPL2	427.9897358
KCCAT198	1
C12orf75	103.1416706
CASC18	1
NUAK1	5.783645079
CKAP4	234.2376257
TCP11L2	2137.056857
POLR3B	82.8989128
LOC100287944	2.891822539
RFX4	2.891822539
LOC100505978	1
RIC8B	106.997434
TMEM263	172.5454115
MTERF2	50.12492402
CRY1	92.53832126
BTBD11	89.64649872
PWP1	203.3915186
PRDM4	218.8145722
LOC101929162	28.91822539
ASCL4	1
LOC728739	1
WSCD2	2.891822539
CMKLR1	65.54797756
LINC01498	1
FICD	35.66581132
SART3	436.6652035
ISCU	861.7631168
TMEM119	1.927881693
SELPLG	1524.954419
MIR4496	1
CORO1C	1035.272469
SSH1	261.2279694
MIR619	1
DAO	2.891822539
SVOP	1
USP30	51.08886486
USP30-AS1	9.639408465
ALKBH2	23.13458032
UNG	48.19704232
ACACB	66.51191841
FOXN4	1
LINC01486	1
MYO1H	11.56729016
KCTD10	134.9517185
UBE3B	382.6845161
MMAB	44.34127894
MVK	14.4591127
FAM222A	1
FAM222A-AS1	1
TRPV4	1
GLTP	321.9562427
TCHP	151.3387129
GIT2	997.6787761
ANKRD13A	2256.585522
C12orf76	90.61043957
IFT81	12.531231
ATP2A2	433.7733809
ANAPC7	235.2015665
ARPC3	1889.324059
GPN3	62.65615502
FAM216A	36.62975217
VPS29	268.9394962
RAD9B	19.27881693
PPTC7	433.7733809
TCTN1	38.55763386
HVCN1	250.6246201
PPP1CC	1208.781821
CCDC63	1
MYL2	1
LINC01405	1
CUX2	1.927881693
FAM109A	19.27881693
SH2B3	458.8358429
ATXN2	144.591127
BRAP	335.4514146
ACAD10	116.6368424
ALDH2	297.8577216
MAPKAPK5-AS1	64.58403671
MAPKAPK5	139.7714227
ADAM1A	93.50226211
TMEM116	120.4926058
ERP29	381.7205752
NAA25	271.8313187
MIR3657	1
TRAFD1	479.0786007
HECTD4	877.1861703
MIR6861	1
RPL6	1833.41549
PTPN11	732.5950433
RPH3A	1
OAS1	534.9871698
OAS3	88.68255788
OAS2	437.6291443
DTX1	7.711526772
RASAL1	1
CCDC42B	1.927881693
DDX54	60.72827333
RITA1	45.30521978
IQCD	4.819704232
TPCN1	88.68255788
MIR6762	1
SLC8B1	222.6703355
PLBD2	28.91822539
SDS	1.927881693
SDSL	7.711526772
LHX5	1
LHX5-AS1	1
LINC01234	1
RBM19	188.9324059
TBX5	2.891822539
TBX5-AS1	1
TBX3	1
MED13L	2150.552029
MIR620	1
LINC00173	20.24275778
MAP1LC3B2	4.819704232
C12orf49	248.6967384
RNFT2	3.855763386
HRK	1
FBXW8	34.70187047
LOC100506551	27.95428455
TESC	953.3374972
TESC-AS1	2.891822539
FBXO21	273.7592004
NOS1	1
KSR2	2.891822539
RFC5	80.97103111
WSB2	433.7733809
VSIG10	82.8989128
PEBP1	284.3625497
TAOK3	904.176514
SUDS3	743.1983926
SRRM4	2.891822539
HSPB8	1
LINC00934	1
CCDC60	1
TMEM233	1.927881693
PRKAB1	107.9613748
CIT	16.38699439
CCDC64	56.87250994
RAB35	297.8577216
GCN1	410.6388006
RPLP0	3436.449118
PXN-AS1	2.891822539
PXN	372.0811667
SIRT4	13.49517185
PLA2G1B	1
MSI1	2.891822539
COX6A1	249.6606792
TRIAP1	48.19704232
GATC	267.0116145
SRSF9	170.6175298
DYNLL1	369.1893442
NRAV	11.56729016
COQ5	60.72827333
RNF10	4041.803969
POP5	50.12492402
CABP1	1
MLEC	481.0064824
UNC119B	139.7714227
ACADS	65.54797756
SPPL3	198.5718144
XLOC_009911	1
HNF1A-AS1	1
HNF1A	3.855763386
C12orf43	39.52157471
OASL	152.3026537
P2RX7	146.5190087
P2RX4	117.6007833
CAMKK2	594.7515023
ANAPC5	723.9195757
RNF34	416.4224457
KDM2B	138.8074819
MIR548AQ	1
ORAI1	72.29556349
MORN3	12.531231
TMEM120B	30.84610709
RHOF	1.927881693
LINC01089	90.61043957
SETD1B	77.11526772
HPD	3.855763386
PSMD9	202.4275778
WDR66	5.783645079
BCL7A	16.38699439
MLXIP	185.0766425
LRRC43	1
IL31	1
B3GNT4	8.675467618
DIABLO	163.8699439
LOC101593348	9.639408465
VPS33A	262.1919102
CLIP1	735.4868659
CLIP1-AS1	10.60334931
ZCCHC8	135.9156594
RSRC2	531.1314064
KNTC1	330.6317103
HCAR2	546.55446
HCAR3	866.582821
HCAR1	1
DENR	240.9852116
CCDC62	14.4591127
HIP1R	161.9420622
VPS37B	123.3844284
ABCB9	3.855763386
OGFOD2	103.1416706
ARL6IP4	326.775947
PITPNM2	53.9806874
MIR4304	1
LOC100507091	4.819704232
MPHOSPH9	306.5331892
C12orf65	106.0334931
CDK2AP1	155.1944763
SBNO1	906.1043957
MIR8072	2.891822539
SETD8	89.64649872
RILPL2	316.1725976
SNRNP35	98.32196634
RILPL1	15.42305354
LOC101927415	17.35093524
TMED2	884.8976971
DDX55	128.2041326
EIF2B1	232.309744
GTF2H3	142.6632453
TCTN2	5.783645079
ATP6V0A2	323.8841244
DNAH10	26.02640286
CCDC92	45.30521978
ZNF664	317.1365385
NCOR2	91.57438042
SCARB1	17.35093524
UBC	4364.724153
MIR5188	1
DHX37	49.16098317
BRI3BP	11.56729016
THRIL	93.50226211
AACS	36.62975217
TMEM132B	1
LINC00939	1
LOC101927464	1
LOC100128554	1
LOC100996671	1.927881693
LINC00944	24.09852116
LINC00943	86.75467618
LOC440117	1
LOC101927592	1
LOC101927616	1
LOC101927637	1
FLJ37505	1
LINC00508	1
LINC00507	1
CRAT8	1
LOC100996679	1
LOC101927694	1
TMEM132C	1
MIR3612	1
SLC15A4	830.9170097
GLT1D1	699.8210546
TMEM132D	16.38699439
LOC283352	1
LOC101927735	1
LOC100190940	1
FZD10-AS1	1
FZD10	1
PIWIL1	1.927881693
RIMBP2	10.60334931
STX2	104.1056114
RAN	592.8236206
ADGRD1	15.42305354
LACAT8	1
LINC01257	1
LOC338797	1
SFSWAP	214.9588088
MMP17	4.819704232
ULK1	103.1416706
PUS1	40.48551555
EP400	180.2569383
SNORA49	16.38699439
EP400NL	4.819704232
DDX51	33.73792963
NOC4L	9.639408465
GALNT9	1.927881693
LOC100130238	1
LOC101928416	1
FBRSL1	24.09852116
LRCOL1	1
P2RX2	1.927881693
POLE	153.2665946
PXMP2	8.675467618
PGAM5	97.3580255
ANKLE2	454.9800795
GOLGA3	545.5905191
CHFR	347.0187047
LOC101928530	4.819704232
ZNF605	143.6271861
ZNF26	140.7353636
LOC101928597	1.927881693
ZNF84	230.3818623
ZNF140	151.3387129
ZNF891	46.26916063
ZNF10	42.41339725
ZNF268	180.2569383
ANHX	1
LINC00417	1
ANKRD20A9P	10.60334931
LINC00408	1
LINC00442	1
TUBA3C	1
LOC101928697	1
ANKRD26P3	1
LINC00421	1
TPTE2	2.891822539
LINC00350	1
MPHOSPH8	610.1745558
PSPC1	543.6626374
ZMYM5	244.840975
ZMYM2	1402.533932
LINC01072	1
GJA3	1
GJB2	1
GJB6	1.927881693
CRYL1	105.0695523
MIR4499	1
IFT88	111.8171382
IL17D	1.927881693
N6AMT2	9.639408465
XPO4	520.5280571
LINC00367	1
LATS2	149.4108312
SAP18	416.4224457
SKA3	67.47585925
MRPL57	98.32196634
MIPEPP3	13.49517185
LINC00539	14.4591127
ZDHHC20	1733.165642
MICU2	336.4153554
FGF9	5.783645079
LINC00424	1
LINC00540	6.747585925
BASP1P1	1
SGCG	1
SACS	775.0084406
SACS-AS1	1
LINC00327	1
TNFRSF19	1
MIPEP	53.01674656
C1QTNF9B-AS1	1.927881693
C1QTNF9B	1
ANKRD20A19P	1
SPATA13	1509.531366
SPATA13-AS1	33.73792963
C1QTNF9	3.855763386
LINC00566	1
PARP4	1196.25059
TPTE2P6	5.783645079
ATP12A	1
RNF17	1
CENPJ	62.65615502
TPTE2P1	1
PABPC3	1
AMER2	3.855763386
LINC00463	1
LINC01053	1
MTMR6	1047.8037
NUPL1	793.3233167
ATP8A2	7.711526772
SHISA2	1
RNF6	464.619488
CDK8	85.79073534
WASF3	15.42305354
GPR12	1
USP12	1415.065163
USP12-AS1	16.38699439
USP12-AS2	1.927881693
LINC00412	2.891822539
RPL21	1
SNORD102	1.927881693
SNORA27	9.639408465
RASL11A	21.20669862
GTF3A	426.0618541
MTIF3	110.8531973
LNX2	137.843541
POLR1D	418.3503274
GSX1	1
PDX1-AS1	1
PDX1	1
ATP5EP2	1.927881693
CDX2	1
URAD	1
FLT3	60.72827333
PAN3-AS1	31.81004793
PAN3	1097.928624
FLT1	68.4398001
POMP	199.5357552
SLC46A3	242.9130933
MTUS2	5.783645079
MTUS2-AS1	1
SLC7A1	66.51191841
UBL3	726.8113983
LINC00297	1
LINC00572	1
LINC00544	12.531231
LINC00365	1
KATNAL1	121.4565467
LINC00426	42.41339725
LINC01058	9.639408465
HMGB1	1391.930582
USPL1	313.2807751
ALOX5AP	823.2054829
LINC00398	1.927881693
LINC00545	1
TEX26-AS1	1
MEDAG	1
TEX26	1
HSPH1	380.7566344
B3GLCT	53.9806874
RXFP2	27.95428455
EEF1DP3	17.35093524
FRY-AS1	23.13458032
FRY	1810.28091
ZAR1L	1
BRCA2	123.3844284
N4BP2L1	261.2279694
N4BP2L2	1256.978864
MINOS1P1	80.00709026
N4BP2L2-IT2	434.7373218
PDS5B	734.522925
LINC00423	1
KL	8.675467618
STARD13	1
STARD13-AS	1
RFC3	48.19704232
LINC00457	1
NBEA	151.3387129
MAB21L1	1.927881693
MIR548F5	1
LINC00445	1.927881693
DCLK1	1.927881693
SOHLH2	1
CCDC169	1
SPG20	484.8622458
SPG20-AS1	1
CCNA1	3.855763386
SERTM1	1
RFXAP	64.58403671
SMAD9	18.31487608
ALG5	78.07920857
EXOSC8	97.3580255
SUPT20H	440.5209668
CSNK1A1L	228.4539806
LINC01048	1
LINC00547	1
POSTN	2.891822539
TRPC4	1
LINC00571	1
UFM1	478.1146599
LINC00437	1
LINC00366	1
FREM2	1
STOML3	1
PROSER1	135.9156594
NHLRC3	251.5885609
LHFP	15.42305354
COG6	195.6799918
MIR4305	1.927881693
LINC00332	1
LINC00548	1
LINC00598	14.4591127
FOXO1	586.0760347
MIR320D1	1
MRPS31	115.6729016
SLC25A15	59.76433248
TPTE2P5	16.38699439
SUGT1P3	18.31487608
ELF1	1694.608008
WBP4	78.07920857
MIR3168	1
KBTBD6	130.1320143
LOC101929140	5.783645079
KBTBD7	227.4900398
MTRF1	91.57438042
NAA16	213.0309271
OR7E37P	1
RGCC	312.3168343
VWA8	313.2807751
MIR5006	1
VWA8-AS1	1
DGKH	300.7495441
AKAP11	783.6839082
TNFSF11	4.819704232
FAM216B	1
LINC01050	1
LINC00428	1
EPSTI1	177.3651158
DNAJC15	61.69221418
LINC00400	1
ENOX1	4.819704232
ENOX1-AS2	1
CCDC122	8.675467618
LACC1	56.87250994
LINC00284	1.927881693
SMIM2-AS1	1
SMIM2	1
SMIM2-IT1	1
MIR8079	1
SERP2	1
TUSC8	1.927881693
TSC22D1	326.775947
TSC22D1-AS1	5.783645079
LINC00330	1
NUFIP1	29.88216624
GPALPP1	59.76433248
LOC101929259	1
GTF2F2	113.7450199
KCTD4	29.88216624
TPT1	5881.967045
SNORA31	1
TPT1-AS1	36.62975217
SLC25A30	130.1320143
SLC25A30-AS1	1
COG3	446.3046119
ERICH6B	1
LINC01055	1
SPERT	1
SIAH3	1
ZC3H13	385.5763386
CPB2-AS1	3.855763386
CPB2	4.819704232
LCP1	16114.19913
LRRC63	4.819704232
LINC00563	5.783645079
KIAA0226L	496.4295359
LINC01198	1
LRCH1	217.8506313
ESD	347.0187047
HTR2A	9.639408465
HTR2A-AS1	1
LINC00562	1
SUCLA2	133.0238368
NUDT15	39.52157471
MED4	179.2929974
MED4-AS1	10.60334931
ITM2B	10102.10007
LINC00441	8.675467618
RB1	725.8474574
LPAR6	695.0013503
RCBTB2	987.0754268
LINC00462	1
CYSLTR2	122.4204875
FNDC3A	638.1288404
MLNR	1
CDADC1	58.80039164
CAB39L	44.34127894
SETDB2	310.3889526
PHF11	288.2183131
RCBTB1	309.4250117
ARL11	421.2421499
EBPL	36.62975217
KPNA3	236.1655074
CTAGE10P	1
SPRYD7	37.59369301
DLEU2	284.3625497
MIR3613	1
TRIM13	739.3426293
KCNRG	63.62009587
MIR16-1	1
MIR15A	13.49517185
DLEU1	279.5428455
ST13P4	1
DLEU1-AS1	9.639408465
DLEU7	33.73792963
DLEU7-AS1	4.819704232
RNASEH2B-AS1	9.639408465
RNASEH2B	288.2183131
GUCY1B2	2.891822539
LINC00371	1
FAM124A	1.927881693
SERPINE3	17.35093524
MIR5693	1
INTS6	962.0129648
INTS6-AS1	65.54797756
WDFY2	269.903437
DHRS12	168.6896481
LINC00282	236.1655074
CCDC70	1
ATP7B	33.73792963
ALG11	40.48551555
UTP14C	238.0933891
NEK5	2.891822539
LOC101929657	1.927881693
NEK3	25.06246201
MRPS31P5	55.9085691
LOC103191607	1
THSD1	2.891822539
VPS36	495.4655951
CKAP2	162.9060031
TPTE2P3	2.891822539
HNRNPA1L2	68.4398001
SUGT1	195.6799918
LECT1	5.783645079
PCDH8	6.747585925
OLFM4	81.93497195
LINC01065	1
LINC00558	1
LINC00458	1
MIR5007	1
PCDH17	2.891822539
LOC101926897	1
DIAPH3	9.639408465
DIAPH3-AS1	1
DIAPH3-AS2	1
LINC00434	1
TDRD3	120.4926058
LINC00378	1
MIR3169	1
PCDH20	1
LINC00358	1
LINC01075	1
LINC00448	1
LINC00376	1
LINC00395	1
OR7E156P	1
LOC102723968	1
MIR548X2	1
PCDH9	83.86285364
PCDH9-AS2	1
PCDH9-AS3	1.927881693
PCDH9-AS4	1
LINC00364	1
LINC00550	1
LINC00383	1
KLHL1	1
ATXN8OS	1
LINC00348	1
DACH1	45.30521978
MZT1	60.72827333
BORA	82.8989128
DIS3	566.7972177
PIBF1	215.9227496
KLF5	22.17063947
LINC00392	1
KLF12	1143.233844
LINC00381	8.675467618
LINC00347	1
CTAGE11P	1
TBC1D4	577.400567
COMMD6	53.01674656
UCHL3	42.41339725
LMO7-AS1	4.819704232
LMO7	79.04314941
LMO7DN	1
LMO7DN-IT1	1
KCTD12	1452.658856
BTF3P11	1
IRG1	5.783645079
CLN5	240.9852116
FBXL3	1170.224188
MYCBP2	3028.70214
MYCBP2-AS1	6.747585925
SCEL	1
SCEL-AS1	1
LOC100129307	1
SLAIN1	148.4468904
EDNRB-AS1	3.855763386
EDNRB	4.819704232
LINC01069	1
LINC00446	1
RNF219-AS1	2.891822539
POU4F1	1
RNF219	96.39408465
LINC00331	1
RBM26	476.1867782
RBM26-AS1	9.639408465
NDFIP2-AS1	1
NDFIP2	30.84610709
LINC01068	1
LINC01038	1
LINC00382	1
LINC01080	1
SPRY2	12.531231
LINC00377	1
LINC00564	1
SLITRK1	1.927881693
LINC00333	2.891822539
LINC00375	1
LINC00351	1
SLITRK6	1
MIR4500HG	1
SLITRK5	2.891822539
LINC00397	1
LOC105370306	1
LINC00433	1
LINC01047	1
LINC00440	1
LINC01040	1
LINC00353	1
LINC00559	1
LINC01049	1
LINC00410	1
LINC00380	1
LINC00379	1
MIR17HG	120.4926058
GPC5	3.855763386
GPC5-AS2	1
GPC5-AS1	1
LINC00363	1
GPC6	2.891822539
GPC6-AS2	1
GPC6-AS1	1
DCT	1.927881693
TGDS	115.6729016
GPR180	150.3747721
LOC101927248	1
SOX21	1
SOX21-AS1	1
LOC101927284	1
LINC00557	1
ABCC4	787.5396716
CLDN10	1
CLDN10-AS1	1.927881693
DZIP1	1
DNAJC3-AS1	53.01674656
DNAJC3	1241.55581
UGGT2	79.04314941
HS6ST3	1
LINC00359	1
OXGR1	1
LINC00456	1
MBNL2	390.3960428
RAP2A	532.0953473
IPO5	417.3863865
FARP1	47.23310148
RNF113B	1
MIR3170	1
STK24	859.8352351
SLC15A1	1
DOCK9	446.3046119
DOCK9-AS1	4.819704232
DOCK9-AS2	6.747585925
UBAC2-AS1	7.711526772
UBAC2	346.0547639
MIR548AN	3.855763386
GPR18	185.0766425
GPR183	637.1648995
FKSG29	28.91822539
MIR623	1
LINC01232	25.06246201
TM9SF2	872.3664661
LINC01039	1
CLYBL	28.91822539
MIR4306	1
CLYBL-AS2	1.927881693
CLYBL-AS1	1
LOC101927437	1
ZIC5	1
ZIC2	1
LINC00554	1
PCCA	60.72827333
PCCA-AS1	9.639408465
GGACT	22.17063947
TMTC4	72.29556349
NALCN-AS1	1
LINC00411	1
NALCN	2.891822539
ITGBL1	1
FGF14	1
MIR4705	1
FGF14-IT1	3.855763386
FGF14-AS1	1
FGF14-AS2	1
TPP2	1149.98143
METTL21C	4.819704232
CCDC168	1.927881693
TEX30	33.73792963
KDELC1	2.891822539
BIVM	24.09852116
ERCC5	32.77398878
METTL21EP	27.95428455
SLC10A2	1.927881693
LINC01309	1
DAOA-AS1	1
DAOA	1
LINC00343	1
LINC00460	1
EFNB2	6.747585925
ARGLU1	866.582821
LINC00551	1
LINC00443	1
FAM155A	1
FAM155A-IT1	1
LIG4	194.716051
ABHD13	559.085691
TNFSF13B	1237.700047
MYO16	6.747585925
MYO16-AS1	1
LINC00399	1
LINC00676	1
IRS2	180.2569383
LINC00396	1.927881693
COL4A1	3.855763386
COL4A2	2.891822539
COL4A2-AS1	1
RAB20	88.68255788
CARKD	159.0502397
CARS2	348.9465864
ING1	144.591127
LINC00346	10.60334931
ANKRD10	855.9794717
LINC00431	1
LINC00368	1
ARHGEF7-AS2	1
ARHGEF7	300.7495441
ARHGEF7-AS1	1
LOC101060553	1
TEX29	1
LINC00354	1
LINC00403	1
SOX1	1
LINC01070	1
LOC101928730	1
LINC01044	1
SPACA7	1
TUBGCP3	376.900871
ATP11AUN	1
ATP11A	616.9221418
ATP11A-AS1	28.91822539
MCF2L-AS1	1
MCF2L	19.27881693
F7	1
F10	1
F10-AS1	1
PROZ	2.891822539
PCID2	227.4900398
CUL4A	821.2776012
MIR8075	3.855763386
LAMP1	544.6265783
GRTP1	13.49517185
GRTP1-AS1	1
LOC101928841	1
ADPRHL1	7.711526772
DCUN1D2	89.64649872
TMCO3	353.7662907
TFDP1	601.4990882
ATP4B	1.927881693
GRK1	1
LINC00552	1
TMEM255B	1
GAS6-AS1	2.891822539
GAS6	29.88216624
GAS6-AS2	1
LINC00452	1
LINC00565	11.56729016
RASA3	675.7225334
CDC16	347.0187047
MIR548AR	10.60334931
MIR4502	1.927881693
UPF3A	93.50226211
CHAMP1	33.73792963
LINC01054	1
POTEG	1.927881693
DUXAP10	1
LINC01296	1
POTEM	1
LOC100508046	1
OR11H2	1
OR4Q3	1
OR4M1	1
OR4N2	1.927881693
OR4K2	1
OR4K5	1
OR4K1	1
OR4K15	1
OR4K14	1
OR4K13	1
OR4L1	1
OR4K17	1
OR4N5	1
OR11G2	1
OR11H6	1
OR11H4	1
TTC5	105.0695523
CCNB1IP1	79.04314941
SNORD126	1
RPPH1	19850.43385
PARP2	47.23310148
TEP1	670.9028292
KLHL33	1
OSGEP	166.7617664
APEX1	171.5814707
TMEM55B	175.4372341
PNP	786.5757307
RNASE10	1
RNASE9	1
RNASE11	1
LOC254028	1
OR6S1	1
ANG	4.819704232
RNASE4	26.9903437
EDDM3A	1
EDDM3B	1
RNASE6	188.9324059
RNASE1	3.855763386
RNASE3	11.56729016
ECRP	5.783645079
RNASE2	106.997434
METTL17	90.61043957
LOC101929718	2.891822539
SLC39A2	1
NDRG2	21.20669862
MIR6717	1
TPPP2	1
RNASE13	1
RNASE7	1
RNASE8	1
ARHGEF40	316.1725976
ZNF219	25.06246201
TMEM253	2.891822539
OR5AU1	1
LINC00641	185.0766425
HNRNPC	2875.435545
RPGRIP1	42.41339725
SUPT16H	591.8596797
CHD8	973.580255
SNORD9	2.891822539
SNORD8	2.891822539
RAB2B	1602.069687
TOX4	534.023229
METTL3	267.9755553
SALL2	3.855763386
OR10G3	1
OR10G2	2.891822539
OR4E2	1.927881693
DAD1	354.7302315
ABHD4	86.75467618
OXA1L	367.2614625
SLC7A7	698.8571137
MRPL52	49.16098317
MMP14	11.56729016
LRP10	196.6439327
REM2	40.48551555
RBM23	577.400567
PRMT5-AS1	2.891822539
PRMT5	139.7714227
LOC101926933	15.42305354
HAUS4	426.0618541
AJUBA	2.891822539
C14orf93	49.16098317
PSMB5	91.57438042
PSMB11	1
CDH24	1
ACIN1	788.5036124
C14orf119	359.5499357
CEBPE	32.77398878
SLC7A8	8.675467618
RNF212B	8.675467618
HOMEZ	71.33162264
PPP1R3E	62.65615502
BCL2L2	82.8989128
PABPN1	5.783645079
SLC22A17	8.675467618
EFS	1
IL25	1
CMTM5	92.53832126
MYH6	1
MYH7	3.855763386
NGDN	102.1777297
THTPA	25.06246201
ZFHX2	5.783645079
AP1G2	136.8796002
LOC102724814	23.13458032
JPH4	5.783645079
DHRS2	1
DHRS4-AS1	48.19704232
DHRS4	37.59369301
DHRS4L2	57.83645079
DHRS4L1	5.783645079
LRRC16B	8.675467618
CPNE6	1.927881693
NRL	3.855763386
PCK2	46.26916063
DCAF11	893.5731647
FITM1	3.855763386
PSME1	1494.108312
EMC9	19.27881693
PSME2	129.1680734
RNF31	215.9227496
IRF9	634.273077
REC8	31.81004793
IPO4	48.19704232
TM9SF1	126.2762509
TSSK4	32.77398878
CHMP4A	148.4468904
MDP1	7.711526772
NEDD8	154.2305354
GMPR2	599.5712065
TINF2	696.929232
TGM1	3.855763386
RABGGTA	25.06246201
DHRS1	33.73792963
NOP9	152.3026537
LTB4R2	9.639408465
LTB4R	374.9729893
ADCY4	44.34127894
RIPK3	80.00709026
NFATC4	1
NYNRIN	3.855763386
CBLN3	1
KHNYN	821.2776012
SDR39U1	23.13458032
LOC101927045	9.639408465
CMA1	1
CTSG	24.09852116
GZMH	368.2254034
GZMB	132.059896
STXBP6	6.747585925
NOVA1	1
LOC101927062	1
LOC102724890	1
LOC101927081	1
MIR4307	1
LINC00645	1
FOXG1-AS1	1
FOXG1	1
LINC01551	1
MIR548AI	1
PRKD1	3.855763386
G2E3	292.0740765
SCFD1	485.8261866
COCH	14.4591127
LOC100506071	7.711526772
STRN3	336.4153554
MIR624	1
AP4S1	101.2137889
HECTD1	1690.752245
HEATR5A	476.1867782
LOC101927124	5.783645079
DTD2	73.25950433
GPR33	1
NUBPL	46.26916063
ARHGAP5-AS1	1.927881693
ARHGAP5	641.0206629
AKAP6	51.08886486
NPAS3	1
EGLN3	19.27881693
SPTSSA	101.2137889
EAPP	188.9324059
SNX6	736.4508067
CFL2	47.23310148
BAZ1A	1913.42258
IGBP1P1	3.855763386
SRP54	379.7926935
FAM177A1	100.249848
LOC101927178	18.31487608
PPP2R3C	252.5525018
KIAA0391	259.3000877
PSMA6	242.9130933
NFKBIA	1035.272469
INSM2	4.819704232
RALGAPA1	16.38699439
RALGAPA1P	3.855763386
BRMS1L	16.38699439
LINC00609	1
PTCSC3	1
MBIP	40.48551555
SFTA3	1
NKX2-1	1
NKX2-1-AS1	1
NKX2-8	1
PAX9	1
SLC25A21	1.927881693
SLC25A21-AS1	1
MIPOL1	1.927881693
FOXA1	1
TTC6	1
SSTR1	1
CLEC14A	1
LINC00639	5.783645079
SEC23A	647.7682488
GEMIN2	33.73792963
TRAPPC6B	291.1101356
PNN	456.9079612
MIA2	1
CTAGE5	400.9993921
LOC100288846	5.783645079
FBXO33	591.8596797
LOC644919	1
LRFN5	1
FSCB	1
C14orf28	53.9806874
LOC101927418	3.855763386
KLHL28	574.5087445
FAM179B	203.3915186
PRPF39	281.4707272
SNORD127	1
FKBP3	74.22344518
FANCM	131.0959551
MIS18BP1	793.3233167
LINC00871	1
RPL10L	1
MDGA2	1
LINC00648	1
RPS29	1083.469511
LRR1	101.2137889
RPL36AL	636.2009587
MGAT2	440.5209668
DNAAF2	62.65615502
POLE2	53.9806874
KLHDC1	41.4494564
KLHDC2	375.9369301
NEMF	496.4295359
ARF6	955.2653789
MIR6076	1
LINC01588	63.62009587
LINC01599	31.81004793
VCPKMT	154.2305354
SOS2	935.9865619
L2HGDH	26.9903437
MIR4504	1
ATP5S	61.69221418
CDKL1	133.0238368
MAP4K5	410.6388006
ATL1	52.05280571
SAV1	120.4926058
NIN	3876.006144
ABHD12B	94.46620296
PYGL	3181.004793
TRIM9	42.41339725
TMX1	592.8236206
LINC00640	1
FRMD6-AS2	1
FRMD6	4.819704232
FRMD6-AS1	3.855763386
GNG2	452.088257
LOC102723604	59.76433248
